Call#,Author,Title,Holds,Frozen Holds,Holdable Items,Non-Holdable Items,Pending Orders,Ratio,Bib#,Pub Year,Date Billed,YTD Circ,LY Circ
J 591.96 TUCHMAN READ-ALONG,"Tuchman, Gail, author. https://id.oclc.org/worldcat/entity/E39PCjB7Tg8D88qDV4RkrFm883",Safari,2,0,1,0,0,2,b3479902a,2019,n/a,n/a,n/a
J 617.6 LEWIS,"Lewis, K. E., author. https://id.oclc.org/worldcat/entity/E39PCjCrXxgDjR8TGWgMFwHW8P",A trip to the dentist,1,0,0,0,0,1,b3474849a,2025,2026-08-03,0,4
J 631.521 CLENDENAN,"Clendenan, Megan, 1977- author. https://id.oclc.org/worldcat/entity/E39PCjHkmMH3hVdhJWJqTwcJTb",Just in case : saving seeds in the Svalbard Global Seed Vault,1,0,0,0,0,1,b3476733a,2025,2026-07-27,0,5
J 641.5951 JENG,"Jeng, Nancy, author.",A very Asian guide to Taiwanese food,1,0,0,0,0,1,b3480060a,2025,2026-07-08,0,5
J 688.725 DOWSETT,"Dowsett, Elizabeth, http://id.loc.gov/authorities/names/no2009132845 author.",The magical guide to the wizarding world,1,0,0,0,0,1,b2340822a,2019,2026-08-04,0,6
J 818.602 LAUGH,,"Laugh attack! : the biggest, best joke book ever.",1,0,0,0,0,1,b3473287a,2016,2026-05-18,0,4
J 883.01 HOMER,"Cross, Gillian. http://id.loc.gov/authorities/names/n80166058",The odyssey,2,0,1,0,0,2,b2380872a,2012,n/a,n/a,n/a
J 940.1 OSBORNE,"Osborne, Will. http://id.loc.gov/authorities/names/n88052928",Knights and castles : a non fiction companion to The knight at dawn,1,0,0,0,0,1,b1247555a,2000,2026-07-20,0,1
J BOARD CHARACTER DISNEY,"Hallam, Frankie, https://id.loc.gov/authorities/names/no2023084339 author, editor.",Disney Winnie the Pooh : pop-up peekaboo!,1,0,0,0,0,1,b3462175a,2024,2026-07-24,0,8
J BOARD K,"Fabrizio, Alex, https://id.loc.gov/authorities/names/n2013065159 adapter, illustrator.",The jungle book,1,0,0,0,0,1,b3362561a,2020,2026-08-01,0,9
J BOARD S,"Saltzberg, Barney, https://id.loc.gov/authorities/names/n80072220 author, illustrator.",Beautiful oops!,2,0,1,0,0,2,b3191773a,2010,n/a,n/a,n/a
J BOARD TOUCH & FEEL,"Davies, Benji, http://id.loc.gov/authorities/names/nb2005011779 illustrator.",Bizzy Bear : do-it-yourself day,2,0,1,0,0,2,b2822793a,2017,2026-07-28,0,4
J BOARD TOUCH & FEEL,"Davies, Benji, https://id.loc.gov/authorities/names/nb2005011779 illustrator.",Bizzy Bear : ferry captain,1,0,0,0,0,1,b3461693a,2024,2026-08-03,0,9
J BOARD TOUCH & FEEL,"Katz, Karen, http://id.loc.gov/authorities/names/n96112546 author.",Where is baby's home?,1,0,0,0,0,1,b2182456a,2017,2026-07-20,0,7
J BOARD TOUCH & FEEL,"Taplin, Sam. https://id.loc.gov/authorities/names/nb99105943",Bedtime for baby bears,1,0,0,0,0,1,b3455745a,2023,2026-07-24,0,4
J CHINESE J 495.12 BO,,Bo po mo : my first Chinese alphabet book animal series.,1,0,0,0,0,1,b1507849a,2012,2026-07-11,0,3
J CHINESE J BOARD ABC,,Dong dong chuang yi xue xi shu : you xing zhuang de zi mu,1,0,0,0,0,1,b3476067a,2024,2026-07-15,0,5
J CHINESE J BOARD M,"Mi, Ya, http://id.loc.gov/authorities/names/n2010082884 author, illustrator.","Bili, ni zai na li ?",1,0,0,0,1,1,b3041771a,2021,2026-05-16,0,5
